user_id,beer_name,brewery_name,style,abv,ibu,image
1,Cherry Pie Ale,Wild Leap,Ale,6.5,20,https://wildleap.com/wp-content/uploads/AmericanCherry-Individual.png
1,Emergency Drinking Beer Watermelon,Wild Heaven,Ale,4.3,,https://static.spotapps.co/web/wildheavenbeer--com/custom/beers_new_2/emergency_drinking_beer_watermelon_new_2.png
1,American Blackberry Ale,Wild Leap,Ale,6.5,20,https://wildleap.com/wp-content/uploads/AmericanBlackberry-Individual.png
1,Brother Thelonius,North Coast,Ale,9.4,27,https://northcoastbrewing.com/wp-content/uploads/2015/07/xBrother-Thelonious-bottle-and-pour-temp.png.pagespeed.ic.2v4vpVUlY-.png
1,Dirty Beaches Tropical Wheat,Scofflaw,Ale,6.3,45,https://scofflawbeer.com/wp-content/themes/scofflawbeer/img/SCOFFLAW-DIRTYBEACHES-1000X1000.png
1,Rosetta,Ommegang,Ale,5.6,50,https://www.ommegang.com/wp-content/uploads/2019/02/Rosetta_12oz-complex-bottle.png
1,Speedway Stout,Alesmith,Stout,12,70,https://alesmith.com/wp-content/uploads/2020/07/speedwaystout.png
1,Thai Wheat,Second Self,Amber Ale,5.1,18,https://static.spotapps.co/web/secondselfbeer--com/custom/beers/thai_wheat.png
1,Hoplanta,Atlanta Brewing,IPA,6.8,70,https://atlantabrewing.com/wp-content/uploads/2018/08/atlanta-brewing-hoplanta-single.png
1,Cali Creamsicle,Mother Earth Brewing,Ale,5,18,"https://static.wixstatic.com/media/2adc16_f4bd76875c2a4f60b74624828f5a770c~mv2.png/v1/fill/w_462,h_462,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Cali-Creamsicle-Can-Glass.png"
1,Cali Peaches & Cream,Mother Earth Brewing,Ale,5,18,"https://static.wixstatic.com/media/2adc16_0d22e88a90d0499f8a674e645f6d1c62~mv2.png/v1/crop/x_1091,y_251,w_1740,h_3455/fill/w_201,h_399,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Cali-Glass.png"
1,San Diego State Ale,Alesmith,Ale,4.7,,https://alesmith.com/wp-content/uploads/2022/07/San-Diego-State-Ale-12oz-Can_web.png
1,Evil Dead Red,Alesmith,Red Ale,6.66,10,https://alesmith.com/wp-content/uploads/2022/08/Evil-Dead-Red-16oz-Can_web.png
1,No Hype,Bagby Beer,Lager,5,,https://images.squarespace-cdn.com/content/v1/52f07132e4b0aa3b720c623f/1623351633802-XGRH1NB8PL08ZUEYXTCG/No+Hype+TRIPLE+MOCK.png?format=1000w
1,Sculpin,Ballast Point,IPA,7,70,https://ballastpoint.com/wp-content/uploads/2018/03/12oz_Single_Sculpin-Front.png
1,Swingin’ Friar Ale,Ballast Point,Pale Ale,5.5,40,https://ballastpoint.com/wp-content/uploads/2019/05/12oz_Can_Single-SFA-Front.png
1,Bacon and Eggs,Pizza Port,Stout,8,,https://s3-us-west-1.amazonaws.com/paradeigm-social/IPfNqTgSJeF7wZO5u8Cr_21-0804 PIZZA PORT Bacon-01.png
1,California Honey,Alesmith,Pale Ale,4.8,,https://s3-us-west-1.amazonaws.com/paradeigm-social/aGFyBIw6TuWev4aVNgB7_Single-Can.png
1,Yeastie Boys,Necromancer Brewing,Lager,7,,https://necromancer.beer/wp-content/uploads/2022/06/yeastie_boysweb-1.png
1,Budweiser,Budweiser,Lager,5,12,https://cdn.builder.io/api/v1/image/assets%2F2c2f396d58f344ecaa467593ed0ec411%2F6b8e15a9a8764641824b812b0eee6e41
2,Abita Purple Haze,Abita Brewing Company,Wheat Ale,4.75,13,https://abita.com/graphics/brews/840/4purplehaze6pack__slide.png
2,Andygator,Abita Brewing Company,Bock,8,0,https://abita.com/graphics/brews/850/abit-0052_andygator_19.2_can__slide.png
2,Nelson,Alpine Beer Company,IPA,7,40,https://alpinebeerco.com/wp-content/uploads/2022/08/BeerCanNav22_Nelson.jpg
2,Adnams Fisherman,Adnams & Co.,Amber Ale,4.5,0,https://assets.untappd.com/photos/2022_11_26/91cc5a62045cae1ed5bda95ca8b75df7_raw.jpg
2,Alaskan ESB,Alaskan Brewing,Bitter,5,0,https://assets.untappd.com/site/beer_logos_hd/beer-_555027_hd_db03277ffd3efeea297025380caeef.jpeg
2,Alaskan Pale,Alaskan Brewing,Blonde Ale,5.2,0,https://cdn.beeradvocate.com/im/beers/1469.jpg
2,Speedway Stout,AleSmith Brewing,Stout,12,0,https://cdn.shopify.com/s/files/1/0338/3672/8364/products/16ozCan-Mockup-SpeedwayStout.png?v=1596230117
2,Maredsous 6,Abbaye de Maredsous,Blonde Ale,6,0,https://cdn.shopify.com/s/files/1/2291/9627/products/450x450_1_-Recovered_a18f3fd3-c4e8-4e4c-b6c6-64facdd919fe_640x.jpg?v=1607109192
2,(512) Bruin,(512) Brewing Company,Brown Ale,7.6,30,https://i0.wp.com/512brewing.com/wp-content/uploads/2010/12/E2158530-212B-40AF-A5DE-40EE4D6C5D73.png?resize=300%2C300&ssl=1
2,(512) Whiskey Barrel Aged Double Pecan Porter,(512) Brewing Company,Porter,8.2,30,https://i0.wp.com/512brewing.com/wp-content/uploads/2018/02/WBADPP_4pack.jpg?resize=246%2C300&ssl=1
2,(512) IPA,(512) Brewing Company,IPA,7,60,https://i0.wp.com/512brewing.com/wp-content/uploads/2023/03/512_IPA_200.webp?w=200&ssl=1
2,(512) Pecan Porter,(512) Brewing Company,Porter,6.8,30,https://i0.wp.com/512brewing.com/wp-content/uploads/2023/03/512_Porter_200.webp?w=200&ssl=1
2,Christmas Ale,Abita Brewing Company,Brown Ale,5.5,38,https://products2.imgix.drizly.com/ci-abita-christmas-ale-9008e1f8f320360d.png?auto=format%2Ccompress&ch=Width%2CDPR&fm=jpg&q=20
